,Company Name,Description,Employees,Type,Location,Followers
74,Dodge Data & Analytics,"Fuel your company's growth with leading commercial construction project data, market forecasting & analytic services.",501-1K,"Technology, Information and Internet","Hamilton Township, New Jersey",23K
75,Radford Data & Analytics,Compensation insights for the world's most innovative companies.,,Human Resources Services,"San Jose, CA",7K
76,McLagan Data & Analytics,Compensation insights for the world’s leading financial services companies.,,Human Resources Services,"Stamford, CT",6K
77,Absolutdata Analytics-an Infogain company,,201-500,IT Services and IT Consulting,"Alameda, CA",74K
78,SG Analytics,Harnessing Data with Purpose,1K-5K,Business Consulting and Services,"New York, New York",169K
79,"NGA Human Resources, an Alight company",Innovating HR and payroll for today and tomorrow,1K-5K,Human Resources Services,"London, England",141K
80,EOS DATA ANALYTICS,EOS Data Analytics: a global provider of AI-powered satellite imagery analytics,201-500,Software Development,"Mountain View, California",8K
81,Seattle Data Guy,,2-10,IT Services and IT Consulting,"Seattle, WA",47K
82,Health Data Analytics Institute (HDAI),Transform patient care with predictive analytics,51-200,Hospitals and Health Care,"Dedham, Massachusetts",5K
83,Saras Analytics,Unified Data Platform for Global Commerce,201-500,Data Infrastructure and Analytics,"Westborough, Massachusetts",31K
84,The Modern Data Company,DataOS: The Data Products Platform,201-500,Software Development,"Palo Alto, California",6K
85,Logi Analytics - insightsoftware,,51-200,Software Development,"McLean, VA",20K
86,Global Analytics India Pvt Ltd.,,201-500,Financial Services,"San Diego, California",17K
87,TEG Analytics,Industries:- Healthcare & CPG | Products:- healthworksai.com + intellmix.com,51-200,Business Consulting and Services,"Westport, Connecticut",14K
88,Neal Analytics,"Accelerating data-driven business transformation with proven edge-to-cloud, engineering, and AI expertise.",201-500,IT Services and IT Consulting,"Bellevue, Washington",15K
89,"Revenue Analytics, Inc.",We make software to solve complex pricing challenges.,51-200,Software Development,"Atlanta, Georgia",14K
90,CLARA Analytics,Proven AI Platform for Casualty Insurance Claims,51-200,Insurance,"Santa Clara, CA",10K
91,Kline + Company,"Provider of Unique Data, Expert Insights, and Custom Solutions.",201-500,Business Consulting and Services,"Parsippany, NJ",72K
92,COREBI Data & Analytics,#somoscorebi #tecnológicamenteagnósticos,201-500,IT Services and IT Consulting,"Buenos Aires, Ciudad autónoma de Buenos Aires",34K
93,EllisDon,"Construction, redefined.",1K-5K,Construction,"London, ON",188K
94,Finlay James,Renowned for bringing visions to life. Click to learn more.,11-50,Staffing and Recruiting,Manchester,258K
95,Engineering Group,,,IT Services and IT Consulting,"Roma, Lazio",150K
96,StarHub,,1K-5K,Telecommunications,Singapore,61K
97,COSO IT - A Big Data & AI Company,"Cloud, Big Data, and Artificial Intelligence",2-10,Software Development,"Gaithersburg, Maryland",62K
98,Clockworks Analytics,"Empowering facilities teams with fault detection and diagnostics to run better, smarter buildings.",11-50,Software Development,Facility Management Software,1703
99,Capitalize Analytics,"We help organizations automate processes, and analyze data with Alteryx, UiPath, Tableau, Snowflake, and more!",51-200,Software Development,"Dallas, Texas",8K
100,HRM Search Partners,,11-50,Staffing and Recruiting,"Dublin, County Dublin",47K
101,DAT Freight & Analytics,Taking the uncertainty out of freight,501-1K,Truck Transportation,"Beaverton, OR",156K
102,Boeing Intelligence & Analytics,Integrating products and people to keep our customers ahead of the global challenges.,201-500,Defense and Space Manufacturing,"Annapolis Junction, MD",16K
103,"SPH Analytics, a Press Ganey Solution",Listen. Analyze. Improve.,501-1K,Hospitals and Health Care,"Alpharetta, GA",12K
104,Focal Point Data Risk (A CDW Company),,201-500,IT Services and IT Consulting,"Tampa, FL",5K
105,Kearney & Company,Your First Easy Decision,501-1K,Accounting,"Alexandria, VA",11K
106,REIDIN - Data Analytics,We Turn Data Into Decision,11-50,Data Infrastructure and Analytics,"Dubai, Dubai",14K
107,The Lukens Company,Data-driven marketing strategies crafted with TLC,51-200,Advertising Services,"Arlington, VA",13K
108,"Blinkfire Analytics, Inc.","AI-Based Sponsorship Optimization for Sports, Entertainment, and Influencers across Social Media and Broadcast",51-200,"Technology, Information and Media","Chicago, IL",6K
109,"Visvero | Analytics, That's IT!","Transform Your Business with Expert Analytics / Data Virtualization, RPA, BI, and AI/ML Solutions",51-200,Information Technology & Services,"Washington, PA",6K
110,"Neudesic, an IBM Company","Neudesic guides clients through the intricacies of their AI journey, while ensuring the fastest path to results.",1K-5K,IT Services and IT Consulting,"Irvine, CA",117K
111,SIGMA Data Insights,Transforming Business | Through Data,201-500,Advertising Services,"St Petersburg, Florida",6K
112,Demandbase,"Follow Demandbase for the latest news, updates and B2B go-to-market insights.",501-1K,Software Development,"San Francisco, CA",66K
113,Fuld & Company,Delivering Competitive Advantage,51-200,Business Consulting and Services,"Boston, MA",9K
114,Perceptive Analytics,,11-50,Business Consulting and Services,"New York, NY",5K
115,"Saggezza, an Apexon company",,501-1K,IT Services and IT Consulting,"Santa Clara, California",55K
116,M3BI - A Zensar Company,,501-1K,Information Technology & Services,"Scottsdale, AZ",40K
117,Info Way Solutions,Bridging Talent with Technology,201-500,IT Services and IT Consulting,"Fremont, California",67K
118,KiE Square Analytics,Knowledge | Innovation | Entrepreneurship,51-200,Data Infrastructure and Analytics,"New York City, New York",10K
119,"SADA, An Insight company",,501-1K,IT Services and IT Consulting,"Los Angeles, California",30K
120,The Hiring Advisors,"Executive Search, Talent Advisory and Recruitment Firm",2-10,Staffing and Recruiting,"Hermosa Beach, CA",39K
121,OptiSol Business Solutions,Trusted digital transformation partner of global enterprises. 14+ years of joyful journey with 450+ employees.,201-500,IT Services and IT Consulting,"Sacramento, California",37K
122,"Finicity, a Mastercard Company",Smarter data to build better experiences,501-1K,Financial Services,"Murray, Utah",32K
123,Travancore Analytics,Innovation Beyond Digital | Software Services Tailored to your Needs | Industrial Training Solutions and XR Innovations,201-500,Software Development,"Pleasanton, California",7K
124,"PatientPop, a Tebra company",PatientPop and Kareo are now Tebra. The digital backbone for a new era of practice well-being.,501-1K,"Technology, Information and Internet","Corona del Mar, California",30K
125,Alliant - The Audience Company,Audiences that optimize marketing profitability in any channel.,51-200,Advertising Services,"Brewster, NY",16K
126,"Kareo, a Tebra company",,501-1K,Software Development,"Corona del Mar, California",27K
127,"Drizly, an Uber Company",We're here to help people savor life's moments.,201-500,Food and Beverage Services,"Boston, Massachusetts",30K
128,Srijan- A Material+ Company,Modernizing your digital systems,501-1K,IT Services and IT Consulting,"Manasquan, New Jersey",25K
129,Modis,,,IT Services and IT Consulting,"Zurich, Zurich",1
130,"Travel Leaders Corporate, LLC","You matter, your travel shouldn't",1K-5K,"Leisure, Travel & Tourism","New York, New York",31K
131,"Standav Corp, a Brillio Company",CRM|CPQ|CLMSolutions - Acquired by Brillio: https://www.businesswire.com/news/home/20211110005322/en/Brillio-Acquires,201-500,IT Services and IT Consulting,"Sunnyvale, California",33K
132,Method Data Science,"Full-stack Data Scientists and Inventors-For-Hire. We invent, build, and protect novel data science solutions.",2-10,Software Development,"Irvine, CA",5K
133,"SparkPost, a MessageBird company",The #emailgeeks most trusted email optimization platform.,201-500,Software Development,"Columbia, Maryland",21K
134,Flurry Analytics,Trust the most adopted mobile app analytics solution.,,Advertising Services,"San Francisco, CA",7K
135,"Sira Consulting, an Inc 5000 company",Modern Consulting Firm Committed to Providing IT Services to Accelerate Your Digital Transformation Needs,201-500,IT Services and IT Consulting,"Houston, TEXAS",47K
136,Pernod Analytics LLC,Leaders in Data Science and Advanced Analytic Search,2-10,Staffing and Recruiting,"Riverdale, NY",5K
137,Aptus Data Labs,An innovative data and AI company builds enterprise AI solutions.,51-200,IT Services and IT Consulting,"Bangalore, Karnataka",22K
138,SSA & Company,We partner differently. We solve today’s toughest business problems with you.,51-200,Business Consulting and Services,"New York, NY",6K
139,OP360 (OfficePartners360),A better way to outsource.,1K-5K,Outsourcing and Offshoring Consulting,"Ridgefield, CT",15K
140,"Datorama, a Salesforce Company",,501-1K,Software Development,New York,19K
141,"Visual BI Solutions, an Atos Company",,201-500,IT Services and IT Consulting,"Plano, Texas",32K
142,Ducen - an Orion Innovation Company,Agility at Scale,201-500,IT Services and IT Consulting,"Boca Raton, Florida",23K
143,BGFi - Data & Analytics,,51-200,IT Services and IT Consulting,"Paris, Île-de-France",7K
144,W2S Solutions - IT Consulting Company,"Leading Digital Transformation Company offering Cloud, Data Analytics & Software Development Solutions for clientele.",51-200,Information Technology & Services,"Austin, Texas",21K
145,Appsian (a Pathlock company),Now part of Pathlock. Delivering unrivaled Access Governance & Application Security Across the Enterprise.,201-500,Data Security Software Products,"Dallas, Texas",17K
146,Insights by Kantar,Shape your brand future,,Market Research,London,397K
147,"MapR Technologies, acquired by Hewlett Packard Enterprise company in 2019",,,Information Technology & Services,"Houston, Texas",29K
148,Arkon Data,We provide efficient strategies and a robust platform to guide organizations to reach optimal decision-making.,51-200,Data Infrastructure and Analytics,"Miami, Florida",4K
149,"EDI Staffing, an EDI Specialists Company",Connecting talented people with great organizations.,11-50,Staffing and Recruiting,"Raynham, MA",23K
150,"Newcomp Analytics, A Converge Company","No matter where you are in your analytics journey, we’ll guide you the rest of the way.",51-200,IT Services and IT Consulting,"Toronto, Ontario",17K
151,Mastech Digital,,1K-5K,IT Services and IT Consulting,"Moon Township, PA",460K
152,"NextGen Invent, an INC.5000 company",Think. Invent. Solve.,51-200,IT Services and IT Consulting,"Syosset, New York",19K
153,"Maven Wave, an Eviden Company",Innovation-Driven Digital Transformation,501-1K,IT Services and IT Consulting,"Chicago, Illinois",17K
154,Tredence Inc.,Enablers of Last Mile Adoption of Data Science,1K-5K,Business Consulting and Services,"San Jose, California",320K
155,SwiftWIN | A Concord Company,Accelerating retail transformation and breathing new life into the customer experience.,201-500,Information Technology & Services,"Charlotte, North Carolina",52K
156,Swrve (a MessageGears company),Helping brands connect with their audiences with unmatched real-time relevance. Now a @MessageGears company.,51-200,Software Development,"Atlanta, Georgia",14K
157,STAND 8 Technology Services,"We solve business challenges with our focus on people, process, and technology.",201-500,IT Services and IT Consulting,"Seal Beach, California",227K
158,Elastic,Elastic brings together the precision of search and the intelligence of AI to accelerate results that matter.,1K-5K,Software Development,"San Francisco, California",443K
159,"Dunn Solutions, a KaarTech Company",Dunn Solutions is a digital commerce and business transformation consultancy that brings Velocity to our clients!,1K-5K,Information Technology & Services,"Chicago, IL",16K
160,Sryas - an Orion Innovation Company,Agility at Scale,501-1K,Information Technology & Services,"Boca Raton, Florida",16K
161,Quantiphi,"Pioneering AI-first solutions, solving complex business challenges through expertise, cloud, data engineering, and AI.",1K-5K,IT Services and IT Consulting,"Marlborough, Massachusetts",355K
162,Celonis,"When processes work, everything works.",1K-5K,Software Development,"New York City, New York",248K
163,Burtch Works,"Hiring Experts shaping the future of recruitment in Data Science, AI, ML, Data Engineering, Market Research, & more",11-50,IT Services and IT Consulting,"Chicago, IL",162K
164,System Soft Technologies,Deep Expertise to Help Clients Solve Their Most Difficult IT Challenges,1K-5K,IT Services and IT Consulting,"Tampa, FL",857K
165,Xceedance,Your Way Forward,1K-5K,Insurance,"Boston, MA",148K
166,LatentView Analytics,Actionable Insights; Accurate Decisions,1K-5K,Business Consulting and Services,"Chennai, Tamil Nadu",158K
167,MathCo,,1K-5K,Business Consulting and Services,"Chicago, Illinois",152K
168,Altimetrik,Enabling Digital Business,5K-10K,Software Development,"Southfield, MI",234K
169,Altair,,1K-5K,Software Development,"Troy, MI",203K
170,Tech Firefly,Empowering a Safer Digital World 🌎,1K-5K,Information Technology & Services,"Santa Clara, CA",59K
171,ThoughtSpot,ThoughtSpot is the AI-Powered Analytics company.,501-1K,Software Development,Business Intelligence (BI) Software,
172,Iris Software Inc.,When IT matters most.,1K-5K,IT Services and IT Consulting,"Edison, NJ",472K
173,Merkle,,,Business Consulting and Services,"Columbia, MD",192K
174,EVERSANA,,5K-10K,Pharmaceutical Manufacturing,"Chicago, IL",404K
175,Infogain,,5K-10K,IT Services and IT Consulting,"Los Gatos, CA",386K
176,"Prudent Technologies and Consulting, Inc.",Empowering Clients with Enabling Technologies!,201-500,IT Services and IT Consulting,"Dallas, TX",190K
177,Annalect,,1K-5K,Advertising Services,"New York, NY",126K
178,"Continuum Clinical, A Spectrum Science Company",,51-200,Marketing Services,"Washington, District of Columbia",20K
179,Signant Health,The Evidence Generation Company,1K-5K,Pharmaceutical Manufacturing,"Blue Bell, Pennsylvania",124K
180,Algoritma Data Science School,Elevate your team with customized data science training | #WujudkanInovasiBesar bersama Algoritma,,Education Administration Programs,"Jakarta Selatan, Jakarta",13K
181,Intellias,,1K-5K,IT Services and IT Consulting,"Chicago, Illinois",281K
182,Datamatics,"A Digital Technologies, Operations, and Experiences company enabling enterprises go Deep in Digital",,IT Services and IT Consulting,"Edison, New Jersey",266K
183,InfoVision Inc.,Accelerate digital transformation for customers with agility and integrity,1K-5K,IT Services and IT Consulting,"Richardson, TX",278K
184,Clarity AI,Add Clarity. Choose Sustainably™,201-500,Software Development,"New York, New York",115K
185,SGS Technologie,"SGS Technologie is an experienced software development and IT staffing firm headquartered in Jacksonville, Florida.",51-200,IT Services and IT Consulting,"Jacksonville, Florida",114K
186,Indium,,1K-5K,IT Services and IT Consulting,"Cupertino, California",128K
187,SevenRooms,A Guest Experience and Retention platform for the hospitality industry.,201-500,Hospitality,"New York, NY",140K
188,SymphonyAI,"Tailored AI applications that solve core business challenges to deliver rapid, real, relevant results.",1K-5K,Software Development,"Palo Alto, California",148K
189,C5i,Driving business impact with the ideal combination of human expertise and AI,1K-5K,Business Consulting and Services,"Bellevue, Washington",144K
190,"Technogen, Inc.",Curious for Tomorrow!,201-500,IT Services and IT Consulting,"Chantilly, VA",135K
191,VentureDive,Engineering Intelligent & Scalable Solutions,201-500,IT Services and IT Consulting,"Mountain View, California",217K
192,Quadrant Technologies,Unleash Growth with Top IT Services 🏆 Partner with a North American leader recognized by INC 500 & Deloitte Fast 500.,1K-5K,IT Services and IT Consulting,"Redmond, Washington",89K
193,ThoughtFocus,Engineering Successful Outcomes,1K-5K,IT Services and IT Consulting,"Dallas, Texas",198K
194,7Park Data,Transforming data to revolutionize business decisions,51-200,Information Services,"NY, NY",4K
195,"Techaxis, Inc",Crafting a seamless recruiting experience.,51-200,Staffing and Recruiting,"Ashburn, Virginia",191K
196,KACE Company,"Mission-focused expertise to advance the nation's safety, security and performance",1K-5K,Business Consulting and Services,"Ashburn, Virginia",5K
197,Techwave,Empower Success,1K-5K,IT Services and IT Consulting,"Houston, TX",56K
198,Synaptic Artificial Intelligence,Revealing hidden intelligence through the power of AI.,51-200,Advertising Services,"Palo Alto, California",4K
199,Robosoft Technologies,Simplifying Digital. Simplifying Lives.,1K-5K,IT Services and IT Consulting,"San Francisco, California",90K
200,Tavant,People.Passion.Excellence,1K-5K,IT Services and IT Consulting,"Santa Clara, California",149K
201,Bizmetric,Enriching Data Insights through Robust Analytical Approaches,51-200,IT Services and IT Consulting,"Sugar Land, Texas",11K
202,Accion Labs,Impacting Lives By Transforming Businesses Through Innovation,1K-5K,Information Technology & Services,"Bridgeville, Pennsylvania",142K
203,DataRobot,The next evolution of AI for business is coming,501-1K,Software Development,Data Science & Machine Learning Platforms,
204,Posit PBC,"👋 Hi there. We’re Posit. We make open-source software to help individuals, teams, and enterprises with data science.",201-500,Software Development,"Boston, Massachusetts",106K
205,Techlogix,We catalyze digital excellence,501-1K,IT Services and IT Consulting,"Woburn, MA",147K
206,Project Growth,Get matched with top tech jobs in the US 🚀,11-50,Marketing Services,"New York, NY",114K
207,Gainsight,,1K-5K,Software Development,"San Francisco, California",129K
208,Medidata Solutions,Powering Smarter Treatments and Healthier People,1K-5K,Software Development,"New York, NY",89K
209,Beyondsoft,,501-1K,IT Services and IT Consulting,"Bellevue, Washington",128K
210,Conviva,Conviva is the unified platform for real-time operational data actionability,201-500,Software Development,"Foster City, CA",79K
211,Simform,Engineering the next best thing for the digital world,1K-5K,IT Services and IT Consulting,"Orlando, Florida",88K
212,GeoSure,"GeoSure leads hyperlocal safety awareness, globally scaled risk assessment technologies, over 400,000 locations.",11-50,Information Services,"Denver, Colorado",2K
213,Stefanini North America and APAC,Co-creating solutions for a better future,,IT Services and IT Consulting,"Southfield, MI",122K
214,Visionet Systems Inc.,Engineering. Simplified.,5K-10K,IT Services and IT Consulting,"Cranbury, New Jersey",118K
215,"Anaconda, Inc.","Anaconda is the world’s most popular and trusted Python/R platform for data science, machine learning, and AI.",201-500,Software Development,"Austin, Texas",89K
216,U.S. News & World Report,We help you make the best decisions.,501-1K,Internet Publishing,"Washington, DC",89K
217,Fintech,"Automating the way alcohol retailers, distributors, and suppliers do business.",201-500,Financial Services,"Tampa, FL",90K
218,Creatio,Creatio is a global vendor of a no-code platform to automate workflows and CRM with a maximum degree of freedom.,501-1K,Software Development,"Boston, Massachusetts",101K
219,Warner Bros. Games,,1K-5K,Entertainment Providers,"Burbank, CA",119K
220,Blazeclan Technologies,Blaze Innovation On Cloud,501-1K,IT Services and IT Consulting,New York,69K
221,Frontline Education,Leading provider of school administration software for the #K12 education community.,501-1K,Software Development,"Wayne, Pennsylvania",66K
222,PRAGMA,Improving people's lives by transforming businesses.,1K-5K,IT Services and IT Consulting,"Miami , Florida",83K
223,Palmetto,Clean energy is for everyone.,201-500,Software Development,"Charlotte, North Carolina",102K
224,V2Soft,Providing high performance technology solutions to solve real business problems.,501-1K,IT Services and IT Consulting,"Bloomfield Hills, Michigan",67K
225,IntegriChain,Data-Driven Commercialization,501-1K,Software Development,"Philadelphia, PA",83K
226,Intuitive.Cloud,“An Engineering Company Driving Business Outcomes”,501-1K,IT Services and IT Consulting,"Iselin, New Jersey",83K
227,Addend Analytics: Microsoft D365 & Data Analytics Partner,100+ D365 Business Central & Power BI Implementations across U.S. | Europe | India,11-50,IT Services and IT Consulting,"Navi Mumbai, Maharashtra",9K
228,Feedzai,End-to-end protection from fraud and financial crime.,501-1K,IT Services and IT Consulting,"San Mateo, CA",76K
229,AllCloud,Accelerating Cloud Innovation,201-500,IT Services and IT Consulting,"Denver, Colorado",65K
230,ZapCom Group Inc,"As a global Product Engineering and Services Company, we help our clients find the solution best suited for them.",201-500,Information Technology & Services,"Irving, Texas",101K
231,CloudMoyo,Transform with Resilience 🚀,501-1K,IT Services and IT Consulting,"Bellevue, Washington",78K
232,Mixpanel,Helping the world learn from its data with event analytics everyone can use. Let's build.,201-500,Software Development,Product Analytics Software,
233,"Neustar, Inc.",,1K-5K,IT Services and IT Consulting,"Reston, Virginia",74K
234,Foursquare,"We're a location technology platform, inventing the future with developer tools, enterprise solutions and consumer apps.",501-1K,Software Development,"New York, NY",86K
235,Incorta,"Only Incorta delivers analytics on live, detailed operational data at scale",201-500,Software Development,"Foster City, CA",63K
236,"Kaygen, Inc.","Kaygen, an award-winning technology consulting and talent firm, assists organizations to achieve digital transformation.",51-200,IT Services and IT Consulting,"Irvine, California",74K
237,Innover Digital,End-to-end Digital Transformation solutions to drive real business outcomes & build intelligent enterprises of tomorrow,1K-5K,IT Services and IT Consulting,"Alpharetta, Georgia",75K
238,SoluLab,"A top-notch AI, Blockchain, Machine Learning, Data Science, IoT, Web3, and Metaverse solution provider.",201-500,IT Services and IT Consulting,"Los Angeles, California",57K
239,Quantum Analytics NG,Become A Global Tech Talent in Demand. Attract Opportunities!,11-50,"Technology, Information and Internet",London,67K
240,NewVision Software,When the POTENTIAL OF PEOPLE converges with the power of TECHNOLOGY we unlock INFINITE POSSIBILITIES,501-1K,IT Services and IT Consulting,"Peachtree Corners, Georgia",68K
241,Core BTS,Core BTS is a full-service digital transformation consulting firm.,501-1K,IT Services and IT Consulting,"Indianapolis, IN",63K
242,Quantum Integrators,"Your Business, Seamlessly Integrated!",1K-5K,IT Services and IT Consulting,"West Windsor, New Jersey",80K
